sub_county,market_center,crop,price_ksh_per_kg,trend,price_date,source
bondo,Bondo Market,maize,64.3,up,2025-09-01,synthetic_demo
ugunja,Ugunja Market,maize,62.9,stable,2025-09-01,synthetic_demo
yala,Yala Market,maize,67.5,up,2025-09-01,synthetic_demo
gem,Gem Market,maize,65.6,up,2025-09-01,synthetic_demo
alego,Alego Market,maize,59.7,stable,2025-09-01,synthetic_demo
bondo,Bondo Market,beans,88.1,down,2025-09-01,synthetic_demo
ugunja,Ugunja Market,beans,89.3,stable,2025-09-01,synthetic_demo
yala,Yala Market,beans,87.6,up,2025-09-01,synthetic_demo
gem,Gem Market,beans,85.6,down,2025-09-01,synthetic_demo
alego,Alego Market,beans,89.8,stable,2025-09-01,synthetic_demo
bondo,Bondo Market,rice,120.5,stable,2025-09-01,synthetic_demo
ugunja,Ugunja Market,rice,115.4,up,2025-09-01,synthetic_demo
yala,Yala Market,rice,119.8,stable,2025-09-01,synthetic_demo
gem,Gem Market,rice,120.4,down,2025-09-01,synthetic_demo
alego,Alego Market,rice,117.1,stable,2025-09-01,synthetic_demo
bondo,Bondo Market,sorghum,93.9,down,2025-09-01,synthetic_demo
ugunja,Ugunja Market,sorghum,92.6,stable,2025-09-01,synthetic_demo
yala,Yala Market,sorghum,95.6,down,2025-09-01,synthetic_demo
gem,Gem Market,sorghum,100.0,down,2025-09-01,synthetic_demo
alego,Alego Market,sorghum,101.4,up,2025-09-01,synthetic_demo
bondo,Bondo Market,millet,109.2,stable,2025-09-01,synthetic_demo
ugunja,Ugunja Market,millet,111.2,up,2025-09-01,synthetic_demo
yala,Yala Market,millet,114.3,up,2025-09-01,synthetic_demo
gem,Gem Market,millet,108.3,up,2025-09-01,synthetic_demo
alego,Alego Market,millet,114.4,stable,2025-09-01,synthetic_demo
bondo,Bondo Market,groundnuts,110.4,down,2025-09-01,synthetic_demo
ugunja,Ugunja Market,groundnuts,111.0,down,2025-09-01,synthetic_demo
yala,Yala Market,groundnuts,113.9,down,2025-09-01,synthetic_demo
gem,Gem Market,groundnuts,108.2,stable,2025-09-01,synthetic_demo
alego,Alego Market,groundnuts,111.7,up,2025-09-01,synthetic_demo
bondo,Bondo Market,tomatoes,79.8,down,2025-09-01,synthetic_demo
ugunja,Ugunja Market,tomatoes,74.2,up,2025-09-01,synthetic_demo
yala,Yala Market,tomatoes,73.9,down,2025-09-01,synthetic_demo
gem,Gem Market,tomatoes,77.3,up,2025-09-01,synthetic_demo
alego,Alego Market,tomatoes,74.7,stable,2025-09-01,synthetic_demo
bondo,Bondo Market,kale,53.0,down,2025-09-01,synthetic_demo
ugunja,Ugunja Market,kale,51.4,stable,2025-09-01,synthetic_demo
yala,Yala Market,kale,53.7,up,2025-09-01,synthetic_demo
gem,Gem Market,kale,52.9,up,2025-09-01,synthetic_demo
alego,Alego Market,kale,46.8,up,2025-09-01,synthetic_demo
bondo,Bondo Market,maize,65.6,down,2025-10-01,synthetic_demo
ugunja,Ugunja Market,maize,63.7,down,2025-10-01,synthetic_demo
yala,Yala Market,maize,61.6,stable,2025-10-01,synthetic_demo
gem,Gem Market,maize,62.4,down,2025-10-01,synthetic_demo
alego,Alego Market,maize,58.3,stable,2025-10-01,synthetic_demo
bondo,Bondo Market,beans,93.9,up,2025-10-01,synthetic_demo
ugunja,Ugunja Market,beans,90.7,down,2025-10-01,synthetic_demo
yala,Yala Market,beans,86.7,down,2025-10-01,synthetic_demo
gem,Gem Market,beans,84.5,stable,2025-10-01,synthetic_demo
alego,Alego Market,beans,85.9,up,2025-10-01,synthetic_demo
bondo,Bondo Market,rice,117.2,down,2025-10-01,synthetic_demo
ugunja,Ugunja Market,rice,114.0,stable,2025-10-01,synthetic_demo
yala,Yala Market,rice,118.8,down,2025-10-01,synthetic_demo
gem,Gem Market,rice,119.3,up,2025-10-01,synthetic_demo
alego,Alego Market,rice,116.0,down,2025-10-01,synthetic_demo
bondo,Bondo Market,sorghum,94.7,stable,2025-10-01,synthetic_demo
ugunja,Ugunja Market,sorghum,98.7,stable,2025-10-01,synthetic_demo
yala,Yala Market,sorghum,100.5,up,2025-10-01,synthetic_demo
gem,Gem Market,sorghum,97.7,stable,2025-10-01,synthetic_demo
alego,Alego Market,sorghum,95.1,up,2025-10-01,synthetic_demo
bondo,Bondo Market,millet,106.7,up,2025-10-01,synthetic_demo
ugunja,Ugunja Market,millet,107.0,down,2025-10-01,synthetic_demo
yala,Yala Market,millet,108.1,up,2025-10-01,synthetic_demo
gem,Gem Market,millet,109.5,down,2025-10-01,synthetic_demo
alego,Alego Market,millet,110.9,stable,2025-10-01,synthetic_demo
bondo,Bondo Market,groundnuts,116.3,stable,2025-10-01,synthetic_demo
ugunja,Ugunja Market,groundnuts,109.4,up,2025-10-01,synthetic_demo
yala,Yala Market,groundnuts,117.4,down,2025-10-01,synthetic_demo
gem,Gem Market,groundnuts,117.2,up,2025-10-01,synthetic_demo
alego,Alego Market,groundnuts,113.4,stable,2025-10-01,synthetic_demo
bondo,Bondo Market,tomatoes,74.7,stable,2025-10-01,synthetic_demo
ugunja,Ugunja Market,tomatoes,77.7,down,2025-10-01,synthetic_demo
yala,Yala Market,tomatoes,73.5,up,2025-10-01,synthetic_demo
gem,Gem Market,tomatoes,76.3,up,2025-10-01,synthetic_demo
alego,Alego Market,tomatoes,71.6,up,2025-10-01,synthetic_demo
bondo,Bondo Market,kale,48.3,up,2025-10-01,synthetic_demo
ugunja,Ugunja Market,kale,42.2,up,2025-10-01,synthetic_demo
yala,Yala Market,kale,55.0,up,2025-10-01,synthetic_demo
gem,Gem Market,kale,43.5,down,2025-10-01,synthetic_demo
alego,Alego Market,kale,52.7,down,2025-10-01,synthetic_demo
bondo,Bondo Market,maize,62.3,stable,2025-11-01,synthetic_demo
ugunja,Ugunja Market,maize,65.8,stable,2025-11-01,synthetic_demo
yala,Yala Market,maize,65.5,down,2025-11-01,synthetic_demo
gem,Gem Market,maize,66.8,stable,2025-11-01,synthetic_demo
alego,Alego Market,maize,63.0,up,2025-11-01,synthetic_demo
