farmer_id,sub_county,season,crop,planting_date,harvest_date,farm_size_ha,yield_ton_per_ha,input_cost_ksh,revenue_ksh,profit_ksh,source
FR-SYN-00001,yala,long_rains,sorghum,2025-03-10,2025-06-13,3.43,2.21,48079.42,685.64,-47393.78,synthetic_demo
FR-SYN-00002,bondo,dry,sorghum,2025-01-17,2025-05-27,3.17,3.07,38501.47,1121.1,-37380.37,synthetic_demo
FR-SYN-00003,alego,short_rains,beans,2025-10-07,2025-12-27,3.64,2.66,43810.89,769.98,-43040.9,synthetic_demo
FR-SYN-00004,ugunja,dry,beans,2025-01-22,2025-05-22,4.68,2.31,171290.86,1034.03,-170256.83,synthetic_demo
FR-SYN-00005,gem,short_rains,kale,2025-10-19,2025-12-17,2.52,9.85,35031.54,1029.36,-34002.18,synthetic_demo
FR-SYN-00006,ugunja,dry,millet,2025-01-08,2025-04-10,5.69,1.86,124804.51,1178.84,-123625.67,synthetic_demo
FR-SYN-00007,yala,short_rains,maize,2025-10-17,2025-12-27,5.49,4.73,110097.41,1606.97,-108490.44,synthetic_demo
FR-SYN-00008,gem,long_rains,rice,2025-03-12,2025-07-16,3.07,4.28,92108.88,1633.13,-90475.75,synthetic_demo
FR-SYN-00009,yala,short_rains,kale,2025-10-10,2025-12-20,2.17,5.35,64934.35,582.66,-64351.69,synthetic_demo
FR-SYN-00010,alego,long_rains,groundnuts,2025-03-19,2025-06-24,4.91,1.34,91751.77,686.81,-91064.97,synthetic_demo
FR-SYN-00011,gem,dry,groundnuts,2025-01-22,2025-05-27,0.8,1.13,19567.86,105.56,-19462.3,synthetic_demo
FR-SYN-00012,gem,short_rains,beans,2025-10-08,2025-12-17,3.36,2.0,26078.45,566.73,-25511.71,synthetic_demo
FR-SYN-00013,bondo,short_rains,maize,2025-10-07,2025-12-14,2.48,2.83,72004.69,384.53,-71620.16,synthetic_demo
FR-SYN-00014,bondo,short_rains,millet,2025-10-10,2025-12-26,1.54,1.91,34483.82,295.7,-34188.12,synthetic_demo
FR-SYN-00015,ugunja,short_rains,maize,2025-10-11,2025-12-18,4.66,4.23,108853.71,1369.28,-107484.44,synthetic_demo
FR-SYN-00016,yala,dry,groundnuts,2025-01-23,2025-04-21,2.5,1.9,46431.22,539.84,-45891.38,synthetic_demo
FR-SYN-00017,ugunja,dry,millet,2025-01-09,2025-05-23,1.6,2.1,24947.17,378.4,-24568.78,synthetic_demo
FR-SYN-00018,bondo,short_rains,groundnuts,2025-10-17,2025-12-23,4.3,2.29,52522.26,1121.23,-51401.02,synthetic_demo
FR-SYN-00019,gem,dry,groundnuts,2025-01-08,2025-04-18,4.79,1.83,77736.8,1145.0,-76591.8,synthetic_demo
FR-SYN-00020,bondo,short_rains,sorghum,2025-10-07,2025-12-13,4.79,2.04,55262.68,877.35,-54385.32,synthetic_demo
FR-SYN-00021,bondo,dry,groundnuts,2025-01-24,2025-04-20,5.89,2.27,91866.5,1548.6,-90317.91,synthetic_demo
FR-SYN-00022,ugunja,dry,sorghum,2025-01-15,2025-04-22,3.24,2.17,51384.58,734.0,-50650.58,synthetic_demo
FR-SYN-00023,gem,short_rains,maize,2025-10-07,2025-12-21,5.19,4.19,173476.27,1224.54,-172251.73,synthetic_demo
FR-SYN-00024,yala,dry,sorghum,2025-01-25,2025-05-10,1.27,3.32,16923.21,431.43,-16491.78,synthetic_demo
FR-SYN-00025,yala,short_rains,maize,2025-10-25,2025-12-11,2.74,2.72,76937.73,432.24,-76505.49,synthetic_demo
FR-SYN-00026,bondo,long_rains,maize,2025-03-18,2025-06-25,0.98,3.19,11199.88,182.13,-11017.75,synthetic_demo
FR-SYN-00027,alego,dry,groundnuts,2025-01-10,2025-05-21,4.5,1.09,165873.2,600.63,-165272.56,synthetic_demo
